epoch  bestFitness  averageFitness   worstFitness
1   7310,00  7764,99   8292,00
2   7264,00  7636,74   8036,00
3   7194,00  7549,79   7954,00
4   7194,00  7482,09   7892,00
5   7194,00  7427,22   7824,00
6   7194,00  7386,76   7782,00
7   7182,00  7351,81   7744,00
8   7166,00  7322,25   7712,00
9   7126,00  7288,17   7666,00
10   7126,00  7247,14   7658,00
11   7122,00  7205,02   7674,00
12   7070,00  7205,87   7674,00
13   7070,00  7211,40   7692,00
14   7070,00  7216,57   7610,00
15   7056,00  7214,01   7732,00
16   7056,00  7190,90   7688,00
17   7056,00  7139,75   7592,00
18   7056,00  7074,76   7510,00
19   7056,00  7070,31   7390,00
20   7048,00  7069,46   7558,00
21   7048,00  7065,95   7464,00
22   7040,00  7058,48   7464,00
23   7040,00  7056,90   7516,00
24   7036,00  7056,62   7516,00
25   7036,00  7057,01   7490,00
26   7036,00  7059,85   7500,00
27   7036,00  7054,01   7392,00
28   7034,00  7047,48   7500,00
29   7034,00  7037,35   7518,00
30   7034,00  7037,06   7484,00
31   7024,00  7036,99   7492,00
32   7024,00  7036,77   7436,00
33   7020,00  7036,12   7492,00
34   7020,00  7034,79   7518,00
35   7020,00  7033,47   7474,00
36   7020,00  7029,16   7516,00
37   7018,00  7024,72   7474,00
38   7018,00  7024,10   7534,00
39   7018,00  7021,93   7530,00
40   7018,00  7020,52   7456,00
41   7016,00  7019,68   7530,00
42   7016,00  7019,15   7482,00
43   7014,00  7018,78   7494,00
44   7014,00  7018,83   7378,00
45   7012,00  7018,79   7404,00
46   7012,00  7017,99   7388,00
47   7012,00  7017,14   7486,00
48   7008,00  7016,42   7502,00
49   7008,00  7015,07   7494,00
50   7008,00  7012,95   7506,00
51   7008,00  7013,02   7494,00
52   7006,00  7012,97   7472,00
53   7006,00  7011,51   7478,00
54   7002,00  7009,56   7476,00
55   7002,00  7008,93   7476,00
56   7002,00  7008,67   7414,00
57   7002,00  7008,03   7466,00
58   7000,00  7006,95   7490,00
59   6998,00  7005,63   7496,00
60   6998,00  7003,65   7500,00
61   6998,00  7002,99   7470,00
62   6998,00  7002,79   7462,00
63   6998,00  7002,55   7480,00
64   6998,00  7001,16   7486,00
65   6998,00  6999,39   7476,00
66   6998,00  6999,05   7492,00
67   6998,00  6999,10   7492,00
68   6998,00  6998,92   7458,00
69   6998,00  6999,04   7466,00
70   6998,00  6998,78   7440,00
71   6998,00  6999,04   7470,00
72   6998,00  6999,06   7466,00
73   6998,00  6999,15   7470,00
74   6998,00  6999,06   7370,00
75   6998,00  6999,20   7492,00
76   6998,00  6998,95   7466,00
77   6998,00  6999,00   7458,00
78   6998,00  6999,18   7492,00
79   6998,00  6999,01   7458,00
80   6998,00  6998,97   7470,00
81   6998,00  6999,24   7492,00
82   6998,00  6999,04   7458,00
83   6998,00  6998,90   7492,00
84   6998,00  6999,06   7466,00
85   6998,00  6998,79   7458,00
86   6998,00  6999,03   7492,00
87   6998,00  6999,14   7492,00
88   6998,00  6998,96   7470,00
89   6998,00  6999,36   7470,00
90   6998,00  6999,12   7492,00
91   6998,00  6998,96   7470,00
92   6998,00  6999,04   7492,00
93   6998,00  6999,43   7466,00
94   6998,00  6999,23   7440,00
95   6998,00  6998,96   7470,00
96   6998,00  6998,92   7470,00
97   6998,00  6999,14   7492,00
98   6998,00  6999,03   7466,00
99   6998,00  6998,87   7458,00
100   6998,00  6999,13   7492,00
