epoch  bestFitness  averageFitness   worstFitness
1   7290,00  7766,34   8272,00
2   7182,00  7645,09   8056,00
3   7182,00  7561,27   7924,00
4   7168,00  7490,23   7900,00
5   7132,00  7425,19   7982,00
6   7132,00  7370,52   7762,00
7   7128,00  7323,67   7710,00
8   7128,00  7270,96   7664,00
9   7124,00  7219,23   7640,00
10   7116,00  7184,80   7486,00
11   7106,00  7164,11   7464,00
12   7106,00  7149,17   7410,00
13   7094,00  7134,17   7388,00
14   7094,00  7130,55   7464,00
15   7094,00  7128,89   7332,00
16   7094,00  7121,68   7332,00
17   7094,00  7107,87   7290,00
18   7090,00  7102,00   7496,00
19   7086,00  7096,56   7474,00
20   7082,00  7094,21   7486,00
21   7082,00  7093,97   7474,00
22   7082,00  7092,99   7294,00
23   7082,00  7089,75   7310,00
24   7082,00  7085,83   7316,00
25   7074,00  7084,29   7402,00
26   7062,00  7082,20   7234,00
27   7062,00  7082,09   7482,00
28   7062,00  7081,92   7402,00
29   7062,00  7081,08   7278,00
30   7058,00  7077,92   7350,00
31   7058,00  7071,04   7214,00
32   7058,00  7063,89   7510,00
33   7058,00  7062,01   7214,00
34   7058,00  7061,88   7226,00
35   7054,00  7061,35   7428,00
36   7050,00  7059,45   7214,00
37   7050,00  7058,18   7426,00
38   7050,00  7057,95   7330,00
39   7050,00  7057,50   7274,00
40   7050,00  7055,60   7410,00
41   7050,00  7051,72   7558,00
42   7050,00  7050,19   7474,00
43   7050,00  7050,05   7186,00
44   7050,00  7050,08   7242,00
45   7050,00  7050,21   7420,00
46   7044,00  7050,07   7202,00
47   7044,00  7050,19   7290,00
48   7044,00  7050,07   7290,00
49   7044,00  7050,05   7330,00
50   7044,00  7049,79   7392,00
51   7044,00  7048,42   7496,00
52   7042,00  7045,16   7330,00
53   7042,00  7044,07   7268,00
54   7042,00  7044,09   7288,00
55   7042,00  7044,12   7476,00
56   7040,00  7044,03   7476,00
57   7040,00  7043,29   7316,00
58   7040,00  7042,28   7350,00
59   7040,00  7042,07   7272,00
60   7040,00  7041,92   7262,00
61   7040,00  7041,37   7348,00
62   7038,00  7040,50   7556,00
63   7038,00  7040,15   7328,00
64   7038,00  7040,11   7412,00
65   7038,00  7040,15   7498,00
66   7038,00  7039,98   7498,00
67   7022,00  7039,64   7476,00
68   7022,00  7038,71   7432,00
69   7022,00  7038,12   7434,00
70   7022,00  7037,92   7400,00
71   7022,00  7037,26   7362,00
72   7022,00  7034,40   7284,00
73   7022,00  7027,39   7260,00
74   7022,00  7022,25   7422,00
75   7022,00  7022,11   7330,00
76   7022,00  7022,11   7494,00
77   7022,00  7022,12   7494,00
78   7018,00  7022,06   7200,00
79   7018,00  7022,14   7502,00
80   7018,00  7022,11   7366,00
81   7018,00  7022,16   7350,00
82   7014,00  7021,71   7218,00
83   7014,00  7020,61   7330,00
84   7014,00  7018,20   7196,00
85   7014,00  7015,98   7196,00
86   7014,00  7014,31   7406,00
87   7014,00  7014,14   7434,00
88   7014,00  7014,08   7290,00
89   7014,00  7014,08   7350,00
90   7014,00  7014,07   7288,00
91   7014,00  7014,03   7106,00
92   7014,00  7014,18   7288,00
93   7014,00  7014,19   7498,00
94   7014,00  7014,08   7196,00
95   7014,00  7014,10   7406,00
96   7014,00  7014,13   7410,00
97   7014,00  7014,19   7396,00
98   7014,00  7014,07   7254,00
99   7014,00  7014,05   7240,00
100   7014,00  7014,06   7230,00
