epoch  bestFitness  averageFitness   worstFitness
1   7212,00  7766,46   8208,00
2   7212,00  7651,44   8076,00
3   7128,00  7566,87   7950,00
4   7126,00  7493,95   7850,00
5   7062,00  7429,07   7814,00
6   7062,00  7366,78   7802,00
7   7030,00  7296,17   7806,00
8   7030,00  7216,40   7674,00
9   7030,00  7138,36   7484,00
10   7020,00  7095,84   7466,00
11   6986,00  7070,18   7458,00
12   6978,00  7052,58   7494,00
13   6978,00  7034,79   7402,00
14   6978,00  7020,96   7464,00
15   6964,00  6997,45   7518,00
16   6964,00  6984,32   7366,00
17   6958,00  6979,86   7386,00
18   6956,00  6978,18   7386,00
19   6950,00  6975,43   7432,00
20   6948,00  6968,14   7478,00
21   6946,00  6959,88   7348,00
22   6942,00  6957,09   7460,00
23   6942,00  6955,63   7398,00
24   6940,00  6951,63   7390,00
25   6936,00  6949,20   7468,00
26   6934,00  6948,06   7390,00
27   6934,00  6945,88   7418,00
28   6934,00  6943,44   7446,00
29   6934,00  6941,77   7424,00
30   6932,00  6938,72   7380,00
31   6930,00  6935,62   7438,00
32   6930,00  6935,09   7380,00
33   6930,00  6935,01   7390,00
34   6928,00  6934,68   7380,00
35   6928,00  6933,64   7424,00
36   6928,00  6932,27   7392,00
37   6926,00  6931,14   7394,00
38   6924,00  6929,93   7394,00
39   6924,00  6929,09   7420,00
40   6924,00  6929,13   7420,00
41   6924,00  6928,37   7340,00
42   6924,00  6927,38   7458,00
43   6924,00  6926,81   7418,00
44   6924,00  6925,75   7458,00
45   6924,00  6924,95   7350,00
46   6924,00  6925,02   7458,00
47   6924,00  6925,18   7458,00
48   6924,00  6924,96   7374,00
49   6924,00  6925,28   7458,00
50   6924,00  6925,37   7374,00
51   6924,00  6925,09   7342,00
52   6924,00  6925,17   7350,00
53   6924,00  6925,25   7458,00
54   6924,00  6925,01   7384,00
55   6924,00  6925,47   7458,00
56   6924,00  6925,57   7384,00
57   6924,00  6925,21   7458,00
58   6924,00  6925,13   7384,00
59   6924,00  6925,28   7340,00
60   6924,00  6925,23   7342,00
61   6924,00  6925,35   7342,00
62   6924,00  6925,21   7340,00
63   6924,00  6925,10   7458,00
64   6924,00  6924,80   7374,00
65   6924,00  6925,28   7342,00
66   6924,00  6925,10   7458,00
67   6924,00  6925,01   7340,00
68   6924,00  6924,89   7280,00
69   6924,00  6925,20   7384,00
70   6924,00  6925,55   7458,00
71   6924,00  6925,12   7458,00
72   6924,00  6925,57   7458,00
73   6924,00  6925,28   7384,00
74   6924,00  6924,90   7458,00
75   6924,00  6925,08   7350,00
76   6924,00  6925,51   7384,00
77   6924,00  6925,29   7458,00
78   6924,00  6925,37   7340,00
79   6924,00  6925,26   7458,00
80   6924,00  6925,29   7340,00
81   6924,00  6925,23   7384,00
82   6924,00  6925,06   7350,00
83   6924,00  6925,23   7312,00
84   6924,00  6925,20   7384,00
85   6924,00  6925,35   7374,00
86   6924,00  6925,12   7312,00
87   6924,00  6925,22   7384,00
88   6924,00  6925,16   7458,00
89   6924,00  6924,82   7274,00
90   6924,00  6925,23   7458,00
91   6924,00  6925,25   7384,00
92   6924,00  6924,98   7350,00
93   6924,00  6925,29   7458,00
94   6924,00  6925,19   7384,00
95   6924,00  6924,88   7458,00
96   6924,00  6925,19   7384,00
97   6924,00  6924,96   7374,00
98   6924,00  6924,99   7384,00
99   6924,00  6925,13   7374,00
100   6924,00  6925,39   7374,00
