epoch  bestFitness  averageFitness   worstFitness
1   7258,00  7765,52   8262,00
2   7234,00  7644,88   8016,00
3   7168,00  7559,55   7958,00
4   7168,00  7491,97   7852,00
5   7132,00  7429,96   7878,00
6   7104,00  7373,18   7810,00
7   7088,00  7324,56   7800,00
8   6994,00  7284,22   7746,00
9   6984,00  7255,38   7782,00
10   6984,00  7237,90   7674,00
11   6984,00  7222,91   7694,00
12   6984,00  7193,93   7714,00
13   6968,00  7113,27   7674,00
14   6956,00  7038,93   7542,00
15   6956,00  7002,99   7490,00
16   6938,00  6988,82   7454,00
17   6938,00  6983,70   7454,00
18   6938,00  6977,19   7466,00
19   6934,00  6971,25   7438,00
20   6926,00  6960,71   7438,00
21   6926,00  6951,20   7416,00
22   6926,00  6946,08   7416,00
23   6926,00  6945,61   7416,00
24   6926,00  6943,67   7416,00
25   6926,00  6938,83   7416,00
26   6926,00  6934,98   7408,00
27   6926,00  6934,78   7408,00
28   6926,00  6933,99   7408,00
29   6926,00  6934,77   7408,00
30   6926,00  6933,85   7408,00
31   6926,00  6934,34   7408,00
32   6926,00  6934,61   7408,00
33   6926,00  6934,13   7408,00
34   6926,00  6934,52   7408,00
35   6926,00  6934,53   7408,00
36   6926,00  6934,46   7408,00
37   6926,00  6934,91   7408,00
38   6926,00  6935,34   7408,00
39   6926,00  6934,75   7408,00
40   6926,00  6934,37   7408,00
41   6926,00  6934,68   7408,00
42   6926,00  6935,68   7408,00
43   6926,00  6934,79   7408,00
44   6926,00  6934,77   7408,00
45   6926,00  6934,50   7408,00
46   6926,00  6934,29   7408,00
47   6926,00  6934,86   7408,00
48   6926,00  6934,05   7408,00
49   6926,00  6934,70   7408,00
50   6926,00  6934,99   7408,00
51   6926,00  6934,61   7408,00
52   6926,00  6934,66   7408,00
53   6926,00  6934,88   7408,00
54   6926,00  6934,13   7408,00
55   6926,00  6934,21   7408,00
56   6926,00  6934,66   7408,00
57   6926,00  6934,25   7408,00
58   6926,00  6934,79   7408,00
59   6926,00  6934,39   7408,00
60   6926,00  6934,63   7408,00
61   6926,00  6934,89   7408,00
62   6926,00  6934,20   7408,00
63   6926,00  6935,19   7408,00
64   6926,00  6933,74   7408,00
65   6926,00  6934,75   7408,00
66   6926,00  6935,35   7404,00
67   6926,00  6934,34   7408,00
68   6926,00  6934,63   7408,00
69   6926,00  6934,64   7408,00
70   6926,00  6933,87   7408,00
71   6926,00  6934,55   7408,00
72   6926,00  6934,87   7408,00
73   6926,00  6934,73   7408,00
74   6926,00  6934,32   7408,00
75   6926,00  6934,07   7408,00
76   6926,00  6934,92   7404,00
77   6926,00  6934,41   7408,00
78   6926,00  6934,65   7408,00
79   6926,00  6934,41   7408,00
80   6926,00  6934,44   7408,00
81   6926,00  6934,36   7408,00
82   6926,00  6934,62   7408,00
83   6926,00  6935,03   7408,00
84   6926,00  6934,36   7408,00
85   6926,00  6935,19   7408,00
86   6926,00  6934,20   7408,00
87   6926,00  6933,81   7408,00
88   6926,00  6934,47   7408,00
89   6926,00  6933,60   7408,00
90   6926,00  6934,94   7408,00
91   6926,00  6934,61   7408,00
92   6926,00  6934,23   7408,00
93   6926,00  6934,67   7408,00
94   6926,00  6935,20   7408,00
95   6926,00  6933,68   7408,00
96   6926,00  6935,15   7408,00
97   6926,00  6934,65   7408,00
98   6926,00  6934,67   7408,00
99   6926,00  6935,28   7408,00
100   6926,00  6934,99   7408,00
