epoch  bestFitness  averageFitness   worstFitness
1   7196,00  7764,77   8276,00
2   7196,00  7649,05   8130,00
3   7100,00  7566,81   8100,00
4   7100,00  7496,40   7908,00
5   7100,00  7427,36   7852,00
6   7100,00  7353,67   7796,00
7   7090,00  7302,30   7736,00
8   7066,00  7263,40   7798,00
9   7058,00  7228,79   7722,00
10   7058,00  7196,37   7612,00
11   7026,00  7163,46   7650,00
12   7026,00  7135,27   7682,00
13   7010,00  7107,68   7584,00
14   7010,00  7076,14   7684,00
15   7010,00  7050,15   7494,00
16   6988,00  7036,23   7570,00
17   6988,00  7033,40   7570,00
18   6984,00  7029,43   7570,00
19   6980,00  7024,17   7560,00
20   6980,00  7017,41   7560,00
21   6980,00  7006,17   7562,00
22   6976,00  6997,34   7552,00
23   6976,00  6995,34   7562,00
24   6972,00  6992,32   7548,00
25   6972,00  6990,57   7560,00
26   6970,00  6988,51   7530,00
27   6962,00  6986,68   7560,00
28   6958,00  6983,58   7558,00
29   6958,00  6982,73   7556,00
30   6958,00  6982,63   7556,00
31   6954,00  6981,02   7554,00
32   6950,00  6978,83   7554,00
33   6950,00  6972,52   7554,00
34   6950,00  6969,42   7522,00
35   6950,00  6969,15   7522,00
36   6950,00  6967,24   7522,00
37   6948,00  6965,57   7522,00
38   6948,00  6963,46   7518,00
39   6948,00  6961,93   7514,00
40   6948,00  6960,62   7514,00
41   6948,00  6960,87   7514,00
42   6948,00  6960,05   7514,00
43   6948,00  6959,44   7512,00
44   6948,00  6959,65   7512,00
45   6948,00  6958,84   7512,00
46   6948,00  6959,90   7512,00
47   6948,00  6958,52   7512,00
48   6948,00  6959,93   7512,00
49   6948,00  6958,68   7512,00
50   6948,00  6958,94   7512,00
51   6948,00  6960,73   7512,00
52   6948,00  6959,67   7512,00
53   6948,00  6959,48   7512,00
54   6948,00  6959,44   7512,00
55   6948,00  6958,81   7512,00
56   6948,00  6958,64   7512,00
57   6948,00  6959,85   7512,00
58   6948,00  6958,79   7512,00
59   6948,00  6959,84   7512,00
60   6948,00  6960,29   7512,00
61   6948,00  6959,70   7512,00
62   6948,00  6959,73   7512,00
63   6948,00  6959,47   7512,00
64   6948,00  6959,27   7512,00
65   6948,00  6959,44   7512,00
66   6948,00  6959,28   7512,00
67   6948,00  6958,34   7512,00
68   6948,00  6959,52   7512,00
69   6948,00  6959,34   7512,00
70   6948,00  6959,45   7512,00
71   6948,00  6958,91   7512,00
72   6948,00  6959,22   7512,00
73   6948,00  6959,93   7512,00
74   6948,00  6958,50   7512,00
75   6948,00  6959,78   7512,00
76   6948,00  6959,11   7512,00
77   6948,00  6959,63   7512,00
78   6948,00  6959,29   7512,00
79   6948,00  6958,90   7512,00
80   6948,00  6959,82   7512,00
81   6948,00  6959,75   7512,00
82   6948,00  6958,15   7512,00
83   6948,00  6959,24   7512,00
84   6948,00  6958,82   7512,00
85   6948,00  6959,27   7512,00
86   6948,00  6959,18   7512,00
87   6948,00  6959,05   7512,00
88   6948,00  6959,48   7512,00
89   6948,00  6959,29   7512,00
90   6948,00  6958,76   7512,00
91   6948,00  6959,74   7512,00
92   6948,00  6958,91   7512,00
93   6948,00  6959,67   7512,00
94   6948,00  6959,89   7512,00
95   6948,00  6958,87   7512,00
96   6948,00  6959,60   7512,00
97   6948,00  6959,37   7512,00
98   6948,00  6959,60   7512,00
99   6948,00  6959,75   7504,00
100   6948,00  6958,91   7512,00
