epoch  bestFitness  averageFitness   worstFitness
1   7276,00  7764,69   8238,00
2   7260,00  7764,23   8264,00
3   7260,00  7761,84   8200,00
4   7260,00  7761,47   8220,00
5   7256,00  7762,01   8236,00
6   7256,00  7763,94   8278,00
7   7256,00  7762,50   8214,00
8   7256,00  7762,60   8200,00
9   7256,00  7761,55   8222,00
10   7238,00  7762,92   8222,00
11   7238,00  7764,56   8248,00
12   7238,00  7764,04   8190,00
13   7238,00  7764,62   8226,00
14   7238,00  7760,92   8268,00
15   7238,00  7760,42   8256,00
16   7238,00  7760,81   8256,00
17   7238,00  7760,62   8244,00
18   7238,00  7761,59   8230,00
19   7238,00  7758,90   8206,00
20   7238,00  7761,31   8196,00
21   7238,00  7759,87   8182,00
22   7238,00  7760,36   8182,00
23   7238,00  7761,93   8258,00
24   7232,00  7761,68   8224,00
25   7232,00  7759,91   8224,00
26   7232,00  7761,53   8224,00
27   7232,00  7761,30   8260,00
28   7232,00  7761,41   8196,00
29   7198,00  7762,02   8248,00
30   7198,00  7760,96   8192,00
31   7198,00  7760,74   8204,00
32   7198,00  7760,70   8226,00
33   7198,00  7759,50   8218,00
34   7198,00  7761,16   8244,00
35   7198,00  7760,73   8186,00
36   7198,00  7761,75   8282,00
37   7198,00  7761,75   8282,00
38   7190,00  7759,83   8222,00
39   7190,00  7760,84   8190,00
40   7184,00  7761,59   8202,00
41   7184,00  7764,68   8156,00
42   7184,00  7767,10   8196,00
43   7184,00  7768,71   8274,00
44   7184,00  7772,01   8276,00
45   7184,00  7770,83   8190,00
46   7184,00  7770,28   8274,00
47   7184,00  7769,90   8204,00
48   7184,00  7769,85   8212,00
49   7176,00  7770,66   8212,00
50   7176,00  7770,79   8224,00
51   7176,00  7770,46   8212,00
52   7176,00  7773,76   8200,00
53   7176,00  7771,49   8194,00
54   7176,00  7772,82   8186,00
55   7172,00  7772,19   8212,00
56   7172,00  7772,44   8236,00
57   7172,00  7772,31   8194,00
58   7172,00  7774,99   8190,00
59   7172,00  7775,80   8228,00
60   7172,00  7777,60   8240,00
61   7172,00  7776,55   8228,00
62   7172,00  7774,08   8206,00
63   7158,00  7772,18   8238,00
64   7158,00  7770,08   8238,00
65   7158,00  7771,84   8166,00
66   7158,00  7773,24   8206,00
67   7158,00  7775,28   8242,00
68   7158,00  7776,14   8252,00
69   7158,00  7774,85   8240,00
70   7158,00  7776,47   8262,00
71   7158,00  7779,06   8244,00
72   7158,00  7778,37   8258,00
73   7158,00  7776,08   8228,00
74   7158,00  7775,96   8228,00
75   7158,00  7773,50   8306,00
76   7158,00  7771,79   8244,00
77   7158,00  7770,29   8228,00
78   7158,00  7770,47   8244,00
79   7158,00  7771,83   8244,00
80   7158,00  7771,14   8236,00
81   7158,00  7771,82   8220,00
82   7158,00  7774,74   8220,00
83   7158,00  7774,95   8224,00
84   7158,00  7775,15   8276,00
85   7158,00  7776,11   8270,00
86   7158,00  7776,68   8222,00
87   7158,00  7775,95   8218,00
88   7158,00  7777,35   8228,00
89   7158,00  7777,14   8206,00
90   7158,00  7775,67   8184,00
91   7158,00  7774,92   8262,00
92   7158,00  7775,77   8232,00
93   7158,00  7778,84   8246,00
94   7158,00  7779,43   8226,00
95   7154,00  7778,94   8256,00
96   7154,00  7778,74   8210,00
97   7154,00  7779,06   8278,00
98   7154,00  7778,34   8242,00
99   7154,00  7780,04   8242,00
100   7154,00  7780,29   8212,00
