epoch  bestFitness  averageFitness   worstFitness
1   7288,00  7765,77   8250,00
2   7216,00  7647,68   8052,00
3   7216,00  7567,20   7892,00
4   7198,00  7505,22   7842,00
5   7180,00  7456,38   7856,00
6   7156,00  7414,70   7742,00
7   7126,00  7383,09   7812,00
8   7126,00  7365,31   7700,00
9   7100,00  7344,72   7776,00
10   7100,00  7304,56   7712,00
11   7082,00  7237,01   7632,00
12   7074,00  7190,84   7588,00
13   7054,00  7167,06   7716,00
14   7034,00  7150,21   7564,00
15   7030,00  7142,03   7626,00
16   7020,00  7117,70   7586,00
17   7008,00  7080,71   7426,00
18   7008,00  7064,37   7542,00
19   6998,00  7052,15   7446,00
20   6998,00  7036,18   7516,00
21   6998,00  7033,05   7554,00
22   6998,00  7037,30   7556,00
23   6998,00  7050,73   7512,00
24   6994,00  7054,94   7594,00
25   6982,00  7024,74   7636,00
26   6962,00  7000,98   7404,00
27   6962,00  6999,96   7554,00
28   6962,00  6998,58   7362,00
29   6946,00  6996,01   7424,00
30   6946,00  6987,61   7468,00
31   6946,00  6974,43   7342,00
32   6946,00  6957,43   7478,00
33   6946,00  6947,40   7314,00
34   6942,00  6947,16   7330,00
35   6942,00  6947,29   7458,00
36   6942,00  6947,16   7458,00
37   6942,00  6946,80   7310,00
38   6942,00  6946,73   7314,00
39   6942,00  6945,68   7396,00
40   6942,00  6943,40   7454,00
41   6942,00  6943,47   7362,00
42   6942,00  6943,15   7454,00
43   6942,00  6943,07   7318,00
44   6942,00  6943,17   7376,00
45   6942,00  6943,08   7376,00
46   6942,00  6943,20   7306,00
47   6942,00  6943,30   7376,00
48   6942,00  6942,90   7376,00
49   6942,00  6943,17   7362,00
50   6942,00  6942,91   7318,00
51   6942,00  6942,99   7362,00
52   6942,00  6942,99   7376,00
53   6942,00  6942,83   7302,00
54   6942,00  6942,89   7376,00
55   6942,00  6942,91   7454,00
56   6942,00  6943,14   7376,00
57   6942,00  6943,18   7376,00
58   6942,00  6942,98   7454,00
59   6942,00  6943,03   7362,00
60   6942,00  6942,87   7318,00
61   6942,00  6943,12   7314,00
62   6942,00  6942,98   7314,00
63   6942,00  6943,10   7314,00
64   6942,00  6943,21   7376,00
65   6942,00  6943,53   7376,00
66   6942,00  6943,13   7306,00
67   6942,00  6943,32   7300,00
68   6942,00  6943,02   7454,00
69   6942,00  6943,09   7362,00
70   6942,00  6942,78   7454,00
71   6942,00  6942,97   7454,00
72   6942,00  6943,03   7362,00
73   6942,00  6942,93   7362,00
74   6942,00  6943,09   7454,00
75   6942,00  6943,49   7454,00
76   6942,00  6943,24   7454,00
77   6942,00  6943,03   7454,00
78   6942,00  6943,16   7454,00
79   6942,00  6943,23   7454,00
80   6942,00  6943,02   7362,00
81   6942,00  6943,04   7306,00
82   6942,00  6943,16   7362,00
83   6942,00  6943,10   7314,00
84   6942,00  6943,21   7318,00
85   6942,00  6943,25   7376,00
86   6942,00  6943,07   7318,00
87   6942,00  6943,31   7318,00
88   6942,00  6942,80   7294,00
89   6942,00  6943,28   7454,00
90   6942,00  6943,01   7282,00
91   6942,00  6942,92   7306,00
92   6942,00  6943,13   7376,00
93   6942,00  6943,16   7314,00
94   6942,00  6942,85   7318,00
95   6942,00  6943,29   7362,00
96   6942,00  6943,09   7362,00
97   6942,00  6943,23   7376,00
98   6942,00  6942,94   7314,00
99   6942,00  6943,22   7454,00
100   6942,00  6943,11   7454,00
101   6942,00  6943,26   7454,00
102   6942,00  6943,07   7306,00
103   6942,00  6943,11   7454,00
104   6942,00  6943,22   7376,00
105   6942,00  6943,09   7318,00
106   6942,00  6943,07   7454,00
107   6942,00  6943,02   7454,00
108   6942,00  6943,45   7376,00
109   6942,00  6943,17   7362,00
110   6942,00  6942,98   7318,00
111   6942,00  6943,14   7376,00
112   6942,00  6942,90   7362,00
113   6942,00  6943,12   7362,00
114   6942,00  6942,92   7376,00
115   6942,00  6943,26   7362,00
116   6942,00  6942,87   7362,00
117   6942,00  6943,03   7454,00
118   6942,00  6942,99   7362,00
119   6942,00  6943,43   7454,00
120   6942,00  6943,20   7302,00
121   6942,00  6943,00   7454,00
122   6942,00  6943,12   7318,00
123   6942,00  6943,10   7376,00
124   6942,00  6943,42   7318,00
125   6942,00  6943,04   7362,00
126   6942,00  6943,14   7376,00
127   6942,00  6943,05   7376,00
128   6942,00  6943,36   7376,00
129   6942,00  6943,43   7454,00
130   6942,00  6943,04   7362,00
131   6942,00  6943,03   7376,00
132   6942,00  6943,07   7306,00
133   6942,00  6943,09   7294,00
134   6942,00  6942,96   7362,00
135   6942,00  6943,07   7454,00
136   6942,00  6943,04   7454,00
137   6942,00  6943,02   7454,00
138   6942,00  6943,07   7314,00
139   6942,00  6943,05   7302,00
140   6942,00  6943,00   7454,00
141   6942,00  6943,32   7454,00
142   6942,00  6943,04   7454,00
143   6942,00  6943,06   7454,00
144   6942,00  6943,02   7454,00
145   6942,00  6943,26   7376,00
146   6942,00  6943,20   7376,00
147   6942,00  6943,23   7454,00
148   6942,00  6943,03   7376,00
149   6942,00  6942,84   7454,00
150   6942,00  6943,24   7376,00
151   6942,00  6943,09   7454,00
152   6942,00  6943,06   7376,00
